,class_name,wl
0,Beef noodle soup,wl1
1,Cart noodle,wl1
2,Cellophane noodles,wl1
3,Chinese noodles,wl1
4,Curry chicken noodles,wl1
5,Drunken noodles,wl1
6,Fried noodles,wl1
7,Hot dry noodles,wl1
8,Instant noodles,wl1
9,Noodle soup,wl1
10,Noodle,wl1
11,Rice noodle roll,wl1
12,Rice noodles,wl1
13,Schnoodle,wl1
14,Shirataki noodles,wl1
15,Singapore-style noodles,wl1
16,Wonton noodles,wl1
17,Spaghetti aglio e olio,wl1
18,Spaghetti,wl1
19,Baked beans,wl2
20,Bean bag chair,wl2
21,Bean bag,wl2
22,Bean sprouts,wl2
23,Bean,wl2
24,Beanie,wl2
25,Black Beans,wl2
26,Broad bean,wl2
27,Caribbean,wl2
28,Cocoa bean,wl2
29,Common bean,wl2
30,Cowboy beans,wl2
31,Green bean,wl2
32,Jelly bean,wl2
33,Kidney beans,wl2
34,Mojette beans,wl2
35,Navy beans,wl2
36,Pinto Beans,wl2
37,Ricebean,wl2
38,Soup beans,wl2
39,Soybean,wl2
40,Naan,wl3
41,Pancake,wl3
42,Potato pancake,wl3
43,Spring pancake,wl3
44,Banana bread,wl3
45,Beer bread,wl3
46,Bread crumbs,wl3
47,Bread flour,wl3
48,Bread pan,wl3
49,Bread pudding,wl3
50,Bread roll,wl3
51,Bread,wl3
52,Breadboard,wl3
53,Breadstick,wl3
54,Brown bread,wl3
55,Bush bread,wl3
56,Cornbread,wl3
57,Crisp bread,wl3
58,Flatbread,wl3
59,Garlic bread,wl3
60,Gingerbread house,wl3
61,Gingerbread,wl3
62,Graham bread,wl3
63,Hard dough bread,wl3
64,Multigrain bread,wl3
65,Potato bread,wl3
66,Pumpkin bread,wl3
67,Rye bread,wl3
68,Shortbread,wl3
69,Sliced bread,wl3
70,Soda bread,wl3
71,Spoonbread,wl3
72,Unleavened bread,wl3
73,White bread,wl3
74,Whole wheat bread,wl3
